,Title,Artist,id,artist_genres,Year,is_top100,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
22,Stitches,Shawn Mendes,1WP1r7fuvRqZRnUaTi2I1Q,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.0152,0.746,206880,0.754,0.0,1,0.0486,-6.681,1,0.067,149.882,4,0.764
23,Hotline Bling,Drake,2FBUoWkIuQXwayw2RNo5l6,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,1,0.00347,0.903,267067,0.62,0.000119,2,0.0504,-8.094,1,0.0587,134.96,4,0.539
24,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",2016,1,0.0736,0.608,185352,0.798,0.0,6,0.156,-5.092,0,0.0432,92.943,4,0.501
25,Send My Love (To Your New Lover),Adele,4BHzQ9C00ceJxfG16AlNWb,"['british soul', 'pop', 'uk pop']",2016,1,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562
26,Roses,The Chainsmokers,3vv9phIu6Y1vX3jcqaGz5Z,"['electropop', 'pop', 'tropical house']",2016,1,0.0435,0.713,226739,0.802,0.00377,4,0.309,-7.055,1,0.0561,100.001,4,0.343
27,Treat You Better,Shawn Mendes,76t5B0ttSAje5KHmQbv88t,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",2016,1,0.107,0.683,187973,0.797,0.0,10,0.114,-4.085,0,0.246,82.916,4,0.758
28,Too Good,Drake,11KJSRSgaDxqydKYiD2Jew,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",2016,1,0.0573,0.804,263373,0.648,3.49e-05,7,0.102,-7.805,1,0.117,117.983,4,0.392
29,Low Life,Future,7EiZI6JVHllARrX9PUvAdX,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2016,1,0.337,0.722,313547,0.331,0.283,8,0.146,-7.789,1,0.0725,143.974,4,0.102
30,What Do You Mean?,Justin Bieber,3pzjHKrQSvXGHQ98dx18HI,"['canadian pop', 'pop', 'post-teen pop']",2016,1,0.59,0.845,205680,0.567,0.00142,5,0.0811,-8.118,0,0.0956,125.02,4,0.793
31,The Hills,The Weeknd,25khomWgBVamSdKw7hzm3l,"['canadian contemporary r&b', 'canadian pop', 'pop']",2016,1,0.0861,0.356,242253,0.567,0.0,0,0.137,-7.011,0,0.0798,135.553,5,0.109
